Ma SV,Ma HP
1,0031
1,0059
1,0091
1,0110
1,0133
1,0153
1,0166
1,0174
2,0007
2,0024
2,0031
2,0060
2,0079
2,0110
2,0130
2,0152
3,0006
3,0031
3,0072
3,0109
3,0131
3,0153
3,0160
3,0174
4,0024
4,0031
4,0060
4,0081
4,0094
4,0109
4,0130
4,0153
5,0031
5,0072
5,0079
5,0109
5,0121
5,0130
5,0154
5,0173
6,0031
6,0059
6,0079
6,0110
6,0121
6,0133
6,0153
6,0159
7,0031
7,0071
7,0081
7,0094
7,0111
7,0130
7,0154
7,0173
8,0025
8,0031
8,0058
8,0079
8,0107
8,0130
8,0152
8,0160
9,0006
9,0025
9,0031
9,0059
9,0110
9,0130
9,0153
9,0160
10,0006
10,0031
10,0060
10,0081
10,0111
10,0131
10,0154
10,0166
11,0006
11,0030
11,0060
11,0110
11,0131
11,0154
11,0160
11,0166
12,0030
12,0072
12,0080
12,0109
12,0130
12,0154
12,0160
12,0173
13,0007
13,0031
13,0059
13,0080
13,0109
13,0133
13,0153
13,0173
14,0031
14,0071
14,0081
14,0094
14,0111
14,0130
14,0153
14,0174
15,0031
15,0059
15,0080
15,0110
15,0133
15,0153
15,0166
15,0173
16,0031
16,0059
16,0079
16,0110
16,0121
16,0133
16,0153
16,0166
17,0027
17,0031
17,0072
17,0079
17,0111
17,0121
17,0131
17,0153
18,0006
18,0031
18,0072
18,0079
18,0109
18,0130
18,0154
18,0160
19,0007
19,0024
19,0031
19,0071
19,0080
19,0110
19,0130
19,0153
20,0031
20,0071
20,0081
20,0111
20,0121
20,0130
20,0154
20,0159
21,0031
21,0071
21,0079
21,0110
21,0121
21,0133
21,0153
21,0166
22,0031
22,0071
22,0079
22,0110
22,0121
22,0153
22,0167
22,0173
23,0031
23,0071
23,0079
23,0110
23,0121
23,0132
23,0153
23,0159
24,0031
24,0059
24,0110
24,0121
24,0130
24,0153
24,0160
24,0173
25,0006
25,0031
25,0071
25,0108
25,0153
25,0160
25,0166
25,0174
26,0007
26,0030
26,0059
26,0080
26,0110
26,0133
26,0153
26,0166
27,0031
27,0071
27,0079
27,0110
27,0121
27,0130
27,0153
27,0160
28,0006
28,0031
28,0071
28,0080
28,0110
28,0132
28,0153
28,0159
29,0031
29,0059
29,0079
29,0110
29,0121
29,0133
29,0153
29,0166
30,0007
30,0031
30,0071
30,0079
30,0110
30,0121
30,0131
30,0153
31,0006
31,0031
31,0072
31,0080
31,0109
31,0132
31,0153
31,0159
32,0007
32,0030
32,0060
32,0110
32,0133
32,0153
32,0166
32,0173
33,0007
33,0031
33,0071
33,0079
33,0110
33,0131
33,0154
33,0166
34,0024
34,0031
34,0070
34,0108
34,0121
34,0130
34,0153
34,0173
35,0007
35,0030
35,0058
35,0111
35,0131
35,0154
35,0160
35,0166
36,0007
36,0031
36,0059
36,0079
36,0110
36,0131
36,0153
36,0174
37,0007
37,0030
37,0071
37,0079
37,0110
37,0130
37,0154
37,0160
38,0031
38,0072
38,0079
38,0109
38,0121
38,0130
38,0154
38,0173
39,0007
39,0030
39,0072
39,0079
39,0109
39,0121
39,0133
39,0153
40,0031
40,0071
40,0081
40,0111
40,0131
40,0154
40,0160
40,0173
41,0030
41,0049
41,0060
41,0079
41,0110
41,0132
41,0153
41,0173
42,0031
42,0060
42,0081
42,0111
42,0131
42,0153
42,0160
42,0166
43,0006
43,0031
43,0071
43,0079
43,0110
43,0121
43,0132
43,0153
44,0029
44,0049
44,0060
44,0079
44,0107
44,0130
44,0152
44,0160
45,0007
45,0031
45,0071
45,0081
45,0091
45,0109
45,0130
45,0154
46,0007
46,0030
46,0059
46,0080
46,0108
46,0120
46,0131
46,0153
47,0007
47,0030
47,0060
47,0079
47,0110
47,0133
47,0153
47,0173
48,0031
48,0072
48,0079
48,0109
48,0121
48,0131
48,0154
48,0166
49,0031
49,0071
49,0080
49,0109
49,0120
49,0132
49,0153
49,0159
50,0006
50,0031
50,0072
50,0109
50,0131
50,0153
50,0160
50,0174
51,0024
51,0031
51,0060
51,0109
51,0120
51,0133
51,0153
51,0173
52,0030
52,0049
52,0060
52,0079
52,0107
52,0130
52,0154
52,0160
53,0031
53,0059
53,0091
53,0110
53,0131
53,0154
53,0160
53,0173
54,0006
54,0031
54,0071
54,0079
54,0110
54,0121
54,0132
54,0153
55,0027
55,0030
55,0060
55,0079
55,0094
55,0110
55,0130
55,0153
56,0006
56,0031
56,0071
56,0080
56,0110
56,0133
56,0153
56,0159
57,0030
57,0060
57,0081
57,0091
57,0111
57,0130
57,0154
57,0160
58,0030
58,0059
58,0080
58,0110
58,0133
58,0153
58,0159
58,0167
59,0025
59,0029
59,0058
59,0107
59,0130
59,0152
59,0173
60,0031
60,0071
60,0081
60,0091
60,0109
60,0121
60,0130
60,0154
61,0030
61,0072
61,0080
61,0109
61,0131
61,0154
61,0160
61,0173
62,0007
62,0015
62,0024
62,0030
62,0058
62,0080
63,0025
63,0029
63,0058
63,0107
63,0130
63,0152
63,0160
63,0173
64,0007
64,0030
64,0059
64,0080
64,0110
64,0133
64,0153
64,0159
65,0025
65,0031
65,0058
65,0079
65,0107
65,0130
65,0154
65,0159
66,0029
66,0058
66,0107
66,0131
66,0154
66,0160
66,0166
66,0173
67,0007
67,0030
67,0060
67,0081
67,0109
67,0130
67,0153
67,0160
68,0031
68,0059
68,0091
68,0110
68,0130
68,0154
68,0160
68,0173
69,0015
69,0029
69,0058
69,0131
69,0160
69,0166
69,0174
70,0006
70,0031
70,0072
70,0109
70,0131
70,0153
70,0167
70,0174
71,0030
71,0059
71,0081
71,0110
71,0121
71,0133
71,0153
71,0159
72,0007
72,0031
72,0071
72,0081
72,0109
72,0121
72,0131
72,0153
73,0006
73,0031
73,0071
73,0080
73,0110
73,0131
73,0153
73,0167
74,0030
74,0060
74,0079
74,0110
74,0132
74,0153
74,0160
74,0173
75,0030
75,0060
75,0081
75,0094
75,0107
75,0130
75,0154
75,0173
76,0007
76,0031
76,0071
76,0081
76,0111
76,0130
76,0154
76,0173
77,0025
77,0029
77,0070
77,0107
77,0130
77,0152
77,0173
78,0031
78,0071
78,0080
78,0110
78,0133
78,0153
78,0166
78,0173
79,0031
79,0060
79,0081
79,0091
79,0111
79,0132
79,0153
79,0173
80,0025
80,0030
80,0070
80,0079
80,0110
80,0130
80,0152
80,0160
81,0006
81,0031
81,0071
81,0079
81,0110
81,0132
81,0153
81,0174
82,0024
82,0028
82,0058
82,0108
82,0131
82,0152
82,0167
82,0174
83,0006
83,0030
83,0060
83,0108
83,0120
83,0131
83,0153
83,0167
84,0015
84,0024
84,0029
84,0058
84,0094
84,0130
84,0173
85,0031
85,0071
85,0079
85,0110
85,0121
85,0131
85,0153
85,0167
86,0007
86,0030
86,0081
86,0091
86,0094
86,0111
86,0131
86,0154
87,0025
87,0029
87,0058
87,0107
87,0130
87,0152
87,0160
87,0173
88,0006
88,0031
88,0071
88,0080
88,0094
88,0110
88,0131
88,0153
89,0007
89,0031
89,0060
89,0081
89,0111
89,0131
89,0153
89,0166
90,0027
90,0030
90,0058
90,0107
90,0121
90,0132
90,0153
90,0173
91,0027
91,0031
91,0072
91,0079
91,0109
91,0121
91,0130
91,0153
92,0029
92,0058
92,0091
92,0109
92,0131
92,0154
92,0160
92,0166
93,0007
93,0031
93,0059
93,0080
93,0110
93,0131
93,0153
93,0166
94,0007
94,0031
94,0071
94,0081
94,0109
94,0153
94,0159
94,0174
95,0024
95,0031
95,0049
95,0060
95,0109
95,0132
95,0153
95,0173
96,0031
96,0049
96,0060
96,0109
96,0130
96,0154
96,0159
96,0173
97,0006
97,0015
97,0030
97,0072
97,0131
97,0154
97,0160
97,0167
98,0030
98,0071
98,0079
98,0110
98,0130
98,0154
98,0160
98,0174
99,0024
99,0028
99,0058
99,0108
99,0131
99,0152
99,0167
99,0174
100,0030
100,0059
100,0080
100,0094
100,0110
100,0131
100,0154
100,0159
101,0007
101,0030
101,0059
101,0110
101,0121
101,0133
101,0153
101,0166
102,0006
102,0031
102,0071
102,0079
102,0110
102,0132
102,0153
102,0174
103,0031
103,0071
103,0080
103,0091
103,0109
103,0120
103,0131
103,0154
104,0027
104,0031
104,0071
104,0079
104,0110
104,0130
