Ma SV,Ma HP,Time slot
15,KH0013,0
21,KH0300,0
30,KH0033,0
33,KH0084,0
36,KH0299,0
47,KH0672,0
48,KH0609,0
59,KH0235,0
71,KH0387,0
76,KH0300,0
95,KH0300,0
98,KH0312,0
108,KH0312,0
122,KH0084,0
137,KH0300,0
139,KH0128,0
159,KH0416,0
173,KH0300,0
183,KH0300,0
186,KH0013,0
226,KH0300,0
229,KH0300,0
239,KH0300,0
256,KH0310,0
259,KH0300,0
262,KH0440,0
299,KH0300,0
302,KH0496,0
304,KH0299,0
320,KH0300,0
357,KH0300,0
365,KH0243,0
371,KH0652,0
377,KH0300,0
396,KH0214,0
416,KH0013,0
422,KH0635,0
432,KH0013,0
441,KH0300,0
447,KH0248,0
458,KH0608,0
460,KH0249,0
469,KH0300,0
485,KH0387,0
490,KH0423,0
495,KH0300,0
496,KH0084,0
497,KH0675,0
503,KH0675,0
507,KH0092,0
511,KH0248,0
512,KH0608,0
514,KH0191,0
515,KH0387,0
520,KH0635,0
523,KH0675,0
534,KH0299,0
555,KH0299,0
560,KH0675,0
564,KH0299,0
566,KH0309,0
569,KH0299,0
570,KH0300,0
571,KH0178,0
576,KH0299,0
577,KH0178,0
580,KH0013,0
595,KH0299,0
615,KH0299,0
619,KH0648,0
623,KH0272,0
625,KH0300,0
628,KH0309,0
633,KH0299,0
637,KH0300,0
639,KH0214,0
648,KH0127,0
650,KH0635,0
652,KH0127,0
656,KH0609,0
658,KH0672,0
660,KH0084,0
665,KH0100,0
671,KH0581,0
676,KH0300,0
680,KH0191,0
684,KH0191,0
686,KH0299,0
695,KH0585,0
696,KH0178,0
701,KH0300,0
707,KH0178,0
721,KH0656,0
726,KH0300,0
728,KH0235,0
731,KH0423,0
733,KH0609,0
737,KH0675,0
741,KH0272,0
743,KH0300,0
746,KH0148,0
747,KH0300,0
768,KH0309,0
769,KH0603,0
776,KH0092,0
781,KH0312,0
782,KH0309,0
789,KH0148,0
790,KH0596,0
791,KH0299,0
794,KH0656,0
795,KH0603,0
798,KH0300,0
800,KH0300,0
801,KH0178,0
811,KH0235,0
814,KH0299,0
819,KH0300,0
824,KH0300,0
826,KH0635,0
841,KH0243,0
844,KH0299,0
852,KH0363,0
854,KH0300,0
856,KH0440,0
860,KH0013,0
866,KH0201,0
868,KH0299,0
874,KH0084,0
879,KH0496,0
882,KH0675,0
892,KH0310,0
900,KH0298,0
903,KH0272,0
909,KH0310,0
910,KH0191,0
918,KH0312,0
921,KH0300,0
925,KH0300,0
935,KH0300,0
941,KH0092,0
945,KH0299,0
949,KH0299,0
951,KH0298,0
953,KH0299,0
957,KH0496,0
965,KH0675,0
969,KH0299,0
975,KH0363,0
977,KH0299,0
981,KH0581,0
982,KH0178,0
990,KH0609,0
991,KH0616,0
995,KH0299,0
1000,KH0635,0
1007,KH0300,0
1010,KH0310,0
1011,KH0585,0
1023,KH0496,0
1039,KH0558,0
1043,KH0128,0
1052,KH0084,0
1058,KH0609,0
1067,KH0194,0
1068,KH0299,0
1075,KH0387,0
1081,KH0416,0
1082,KH0191,0
1093,KH0608,0
1097,KH0299,0
1103,KH0178,0
1109,KH0309,0
1112,KH0214,0
1136,KH0496,0
1140,KH0581,0
1141,KH0298,0
1154,KH0672,0
1160,KH0231,0
1169,KH0635,0
1176,KH0672,0
1178,KH0416,0
1181,KH0178,0
1185,KH0013,0
1199,KH0300,0
1204,KH0616,0
1219,KH0272,0
1221,KH0648,0
1232,KH0496,0
1248,KH0312,0
1251,KH0231,0
1257,KH0558,0
1260,KH0532,0
1262,KH0423,0
1264,KH0191,0
1273,KH0191,0
1282,KH0387,0
1288,KH0300,0
1294,KH0363,0
1299,KH0310,0
1307,KH0194,0
1313,KH0363,0
1315,KH0536,0
1319,KH0299,0
1320,KH0300,0
1323,KH0062,0
1338,KH0532,0
1350,KH0300,0
1354,KH0084,0
1356,KH0312,0
1370,KH0299,0
1374,KH0062,0
