Mã SV,Mã HP,Time slot
A905947446,R13009E1,0
A905947480,V72AINE1,0
A913360369,R13011E1,0
A913455344,R13011E1,0
A913569009,R83043E1,0
A913759105,R83043E1,0
A913765265,R13011E1,0
A914329185,R13011E1,0
A914722179,R83043E1,0
A915104002,R83043E1,0
A916010429,R83043E1,0
A916037161,R83043E1,0
A916084626,R13011E1,0
A916094360,R13011E1,0
A916233707,R13011E1,0
A916240440,R13011E1,0
A916242916,R13011E1,0
A916259899,R13011E1,0
A916288062,R13011E1,0
A916289955,R83043E1,0
A916307019,R13009E1,0
A916307064,R83043E1,0
A916350990,R83043E1,0
A916360450,R13011E1,0
A916374583,R83043E1,0
A916379968,R83043E1,0
A916408567,R83043E1,0
A916423663,R13009E1,0
A916456797,R13011E1,0
A916501961,R13011E1,0
A916540454,R83043E1,0
A916544681,R83043E1,0
A916573083,R83043E1,0
A916585503,R83043E1,0
A916773650,R83043E1,0
A916863641,R13011E1,0
A916866114,R83043E1,0
A916937322,R13011E1,0
A916937595,R83043E1,0
A916942083,R13009E1,0
A917028173,R83043E1,0
A917109357,R13009E1,0
A917117525,R83043E1,0
A917159053,R13011E1,0
A917211856,R13011E1,0
A917223860,R13011E1,0
A917224236,R83043E1,0
A917372766,R13011E1,0
A917392878,R83043E1,0
A917455542,R83043E1,0
A917616590,R13011E1,0
A918765422,V43103E1,0
A920078381,V13185E1,0
A920096455,V13185E1,0
A920120071,V13185E1,0
A920121241,V13185E1,0
A920155154,R12025E1,0
A920213074,V13185E1,0
A920232880,V43103E1,0
A920260517,V13185E1,0
A920270413,V13185E1,0
A920282874,V13185E1,0
A920320659,W32H14E1,0
A920412644,V43103E1,0
A920486900,V13185E1,0
A920499807,V13185E1,0
A920509472,R83043E1,0
A920521256,V43103E1,0
A920528026,V43103E1,0
A920641200,V13185E1,0
A920687828,V13185E1,0
A920893175,V41142E1,0
A921057910,V43103E1,0
A922170474,L83112E1,0
A922287749,V72AINE1,0
A922586114,V43103E1,0
A922898006,V72AINE1,0
A922986288,V43103E1,0
A922991628,V43103E1,0
A923038074,V43103E1,0
A926163722,V43103E1,0
A926273629,V43103E1,0
A926277649,V41142E1,0
A926500938,V43103E1,0
A926975930,V72AINE1,0
A927112631,V43103E1,0
A928203459,C81ICAE1,0
A928203460,V72AINE1,0
A928204478,V72AINE1,0
A930044523,R22204E1,0
A930085320,R22204E1,0
A930162676,R12025E1,0
A930275943,R12025E1,0
A930276744,R12025E1,0
A930549305,W32H14E1,0
A930690607,L3B021E1,0
A930729996,W32H14E1,0
A931032659,R4A210E1,0
A931121997,R4A210E1,0
A931378731,V41133E1,0
A931382141,V41142E1,0
A931395004,V41142E1,0
A931781528,V41142E1,0
A931859447,V41142E1,0
A932714769,V72AINE1,0
A935011070,L3B021E1,0
A935016329,W32H14E1,0
A935017924,V41142E1,0
A935020315,R12025E1,0
A935034530,V72AINE1,0
A935068465,R12025E1,0
A935109838,V41142E1,0
A935111587,V41142E1,0
A935118586,V41142E1,0
A935133006,V41142E1,0
A935149568,W32H14E1,0
A935166679,R4A210E1,0
A935196182,R12025E1,0
A935207466,R12025E1,0
A935208289,V41142E1,0
A935214202,R12025E1,0
A935221440,V72AINE1,0
A935238105,R12025E1,0
A935254493,V72AINE1,0
A935301971,R12025E1,0
A935307353,R12025E1,0
A935320640,R4A210E1,0
A935326332,R4A210E1,0
A935328602,V72AINE1,0
A935330993,V41142E1,0
A935331026,V72AINE1,0
A935345757,R12025E1,0
A935380677,R4A210E1,0
A935422210,L3B021E1,0
A935475113,R12025E1,0
