Ma SV,Ma HP,Time slot
14,KH0374,0
16,KH0169,0
31,KH0359,0
33,KH0204,0
39,KH0082,0
42,KH0381,0
45,KH0390,0
48,KH0390,0
72,KH0308,0
73,KH0036,0
74,KH0082,0
82,KH0312,0
87,KH0082,0
88,KH0313,0
95,KH0169,0
101,KH0178,0
104,KH0016,0
115,KH0345,0
118,KH0285,0
121,KH0028,0
132,KH0285,0
134,KH0082,0
140,KH0383,0
143,KH0359,0
145,KH0374,0
151,KH0006,0
153,KH0374,0
157,KH0428,0
158,KH0082,0
159,KH0071,0
160,KH0390,0
166,KH0346,0
175,KH0329,0
181,KH0182,0
185,KH0050,0
189,KH0090,0
192,KH0268,0
197,KH0381,0
199,KH0331,0
204,KH0320,0
209,KH0359,0
211,KH0169,0
213,KH0359,0
220,KH0331,0
224,KH0082,0
230,KH0107,0
233,KH0285,0
234,KH0216,0
237,KH0454,0
238,KH0169,0
241,KH0082,0
250,KH0182,0
254,KH0331,0
259,KH0390,0
260,KH0261,0
262,KH0381,0
273,KH0331,0
277,KH0359,0
282,KH0330,0
283,KH0443,0
284,KH0377,0
287,KH0178,0
293,KH0390,0
295,KH0277,0
298,KH0331,0
300,KH0355,0
305,KH0090,0
306,KH0331,0
309,KH0182,0
312,KH0122,0
322,KH0359,0
326,KH0381,0
329,KH0329,0
330,KH0331,0
331,KH0244,0
335,KH0390,0
338,KH0268,0
342,KH0244,0
345,KH0178,0
347,KH0383,0
349,KH0277,0
351,KH0107,0
352,KH0381,0
353,KH0447,0
355,KH0381,0
356,KH0381,0
357,KH0383,0
363,KH0331,0
364,KH0383,0
366,KH0331,0
368,KH0329,0
369,KH0182,0
376,KH0381,0
381,KH0381,0
384,KH0399,0
385,KH0428,0
386,KH0183,0
387,KH0390,0
401,KH0329,0
405,KH0331,0
407,KH0359,0
408,KH0229,0
409,KH0399,0
412,KH0244,0
414,KH0183,0
416,KH0261,0
419,KH0381,0
421,KH0329,0
431,KH0454,0
434,KH0216,0
435,KH0331,0
442,KH0095,0
444,KH0036,0
446,KH0381,0
447,KH0443,0
448,KH0022,0
449,KH0110,0
454,KH0329,0
455,KH0216,0
456,KH0399,0
462,KH0329,0
465,KH0329,0
466,KH0359,0
468,KH0383,0
471,KH0331,0
473,KH0331,0
475,KH0383,0
480,KH0381,0
481,KH0331,0
482,KH0381,0
485,KH0331,0
489,KH0244,0
491,KH0331,0
494,KH0383,0
498,KH0229,0
502,KH0095,0
509,KH0244,0
513,KH0381,0
514,KH0331,0
515,KH0383,0
519,KH0331,0
521,KH0090,0
522,KH0331,0
523,KH0320,0
529,KH0381,0
530,KH0331,0
532,KH0178,0
534,KH0381,0
535,KH0331,0
536,KH0178,0
538,KH0329,0
539,KH0095,0
540,KH0331,0
541,KH0399,0
543,KH0329,0
544,KH0454,0
548,KH0331,0
549,KH0329,0
552,KH0359,0
554,KH0331,0
555,KH0331,0
557,KH0369,0
560,KH0216,0
561,KH0095,0
564,KH0200,0
568,KH0331,0
570,KH0383,0
574,KH0331,0
575,KH0423,0
580,KH0331,0
584,KH0383,0
586,KH0095,0
588,KH0331,0
599,KH0331,0
602,KH0095,0
605,KH0331,0
606,KH0182,0
608,KH0095,0
609,KH0090,0
610,KH0331,0
614,KH0329,0
615,KH0095,0
616,KH0182,0
620,KH0095,0
625,KH0331,0
626,KH0331,0
631,KH0320,0
632,KH0369,0
635,KH0216,0
637,KH0186,0
638,KH0381,0
640,KH0178,0
643,KH0383,0
647,KH0331,0
649,KH0331,0
650,KH0383,0
651,KH0182,0
654,KH0095,0
656,KH0383,0
658,KH0268,0
659,KH0182,0
660,KH0331,0
663,KH0331,0
664,KH0383,0
665,KH0329,0
668,KH0095,0
669,KH0329,0
671,KH0107,0
673,KH0383,0
674,KH0182,0
675,KH0331,0
676,KH0329,0
680,KH0329,0
681,KH0329,0
683,KH0329,0
684,KH0331,0
685,KH0447,0
688,KH0381,0
692,KH0355,0
702,KH0182,0
703,KH0331,0
704,KH0331,0
705,KH0268,0
709,KH0182,0
720,KH0261,0
722,KH0346,0
723,KH0186,0
726,KH0381,0
727,KH0200,0
728,KH0268,0
729,KH0095,0
734,KH0090,0
735,KH0331,0
739,KH0381,0
742,KH0359,0
745,KH0359,0
746,KH0090,0
747,KH0329,0
748,KH0355,0
753,KH0383,0
755,KH0320,0
760,KH0383,0
763,KH0331,0
766,KH0331,0
769,KH0329,0
780,KH0268,0
782,KH0331,0
785,KH0186,0
789,KH0268,0
790,KH0107,0
800,KH0320,0
803,KH0182,0
804,KH0178,0
805,KH0331,0
810,KH0182,0
812,KH0381,0
816,KH0355,0
817,KH0036,0
820,KH0277,0
822,KH0399,0
829,KH0454,0
832,KH0454,0
833,KH0277,0
838,KH0036,0
840,KH0261,0
846,KH0308,0
852,KH0277,0
854,KH0229,0
857,KH0277,0
858,KH0277,0
866,KH0205,0
869,KH0447,0
870,KH0090,0
874,KH0182,0
877,KH0329,0
883,KH0399,0
888,KH0331,0
891,KH0277,0
895,KH0090,0
897,KH0383,0
900,KH0090,0
904,KH0229,0
906,KH0182,0
910,KH0331,0
911,KH0383,0
913,KH0182,0
914,KH0381,0
915,KH0383,0
918,KH0090,0
920,KH0329,0
921,KH0090,0
925,KH0090,0
927,KH0182,0
934,KH0182,0
935,KH0183,0
941,KH0329,0
945,KH0090,0
946,KH0095,0
947,KH0182,0
949,KH0331,0
956,KH0090,0
957,KH0182,0
964,KH0182,0
965,KH0182,0
966,KH0383,0
970,KH0331,0
971,KH0331,0
973,KH0090,0
974,KH0090,0
976,KH0178,0
980,KH0331,0
981,KH0178,0
984,KH0329,0
986,KH0329,0
987,KH0331,0
988,KH0182,0
990,KH0320,0
994,KH0320,0
997,KH0383,0
998,KH0182,0
1007,KH0090,0
1010,KH0182,0
1014,KH0028,0
1015,KH0090,0
1017,KH0182,0
1019,KH0186,0
1026,KH0090,0
1027,KH0331,0
1028,KH0320,0
1035,KH0090,0
1037,KH0320,0
1040,KH0399,0
1042,KH0331,0
1050,KH0277,0
1051,KH0090,0
1055,KH0331,0
1059,KH0182,0
1062,KH0383,0
1065,KH0090,0
1069,KH0095,0
1072,KH0320,0
1073,KH0090,0
1074,KH0329,0
1076,KH0186,0
1083,KH0329,0
1087,KH0320,0
1091,KH0383,0
1093,KH0320,0
1100,KH0399,0
1103,KH0095,0
1108,KH0329,0
1109,KH0320,0
1110,KH0090,0
1112,KH0329,0
1116,KH0383,0
1117,KH0186,0
1122,KH0391,0
1123,KH0377,0
1124,KH0268,0
1126,KH0381,0
1127,KH0182,0
1128,KH0244,0
1129,KH0178,0
1130,KH0182,0
1131,KH0182,0
1132,KH0182,0
1133,KH0090,0
1134,KH0383,0
1135,KH0423,0
1136,KH0383,0
1139,KH0331,0
1145,KH0268,0
1150,KH0244,0
1153,KH0443,0
1154,KH0183,0
1157,KH0028,0
1158,KH0182,0
1160,KH0268,0
1163,KH0377,0
1165,KH0244,0
1166,KH0381,0
1168,KH0329,0
1170,KH0381,0
1172,KH0329,0
1173,KH0090,0
1175,KH0090,0
1177,KH0244,0
1178,KH0320,0
1180,KH0329,0
1187,KH0320,0
1189,KH0331,0
1192,KH0182,0
1195,KH0277,0
1197,KH0186,0
1199,KH0277,0
1201,KH0329,0
1202,KH0244,0
1204,KH0329,0
1208,KH0383,0
1211,KH0126,0
1212,KH0320,0
1218,KH0329,0
1219,KH0383,0
1222,KH0377,0
1224,KH0028,0
1226,KH0090,0
1239,KH0090,0
1242,KH0399,0
1245,KH0268,0
1247,KH0331,0
1250,KH0090,0
1251,KH0186,0
1254,KH0381,0
1255,KH0090,0
1257,KH0320,0
1259,KH0320,0
1260,KH0182,0
1261,KH0090,0
1263,KH0329,0
1266,KH0268,0
1268,KH0183,0
1271,KH0182,0
1272,KH0331,0
1273,KH0447,0
1274,KH0090,0
1281,KH0095,0
1282,KH0331,0
1283,KH0268,0
1285,KH0186,0
1289,KH0277,0
1291,KH0182,0
1292,KH0182,0
1295,KH0329,0
1300,KH0383,0
1301,KH0383,0
1304,KH0329,0
1305,KH0182,0
1309,KH0095,0
1312,KH0399,0
1314,KH0331,0
1315,KH0331,0
1316,KH0277,0
1318,KH0331,0
1319,KH0331,0
1323,KH0331,0
1327,KH0331,0
1329,KH0331,0
1337,KH0268,0
1341,KH0331,0
1343,KH0182,0
1346,KH0329,0
1349,KH0242,0
1351,KH0329,0
1352,KH0182,0
1360,KH0178,0
1361,KH0377,0
1364,KH0182,0
1365,KH0268,0
1366,KH0268,0
1369,KH0182,0
1373,KH0308,0
1374,KH0169,0
1375,KH0229,0
1377,KH0169,0
1379,KH0200,0
1383,KH0277,0
1385,KH0329,0
1386,KH0320,0
1387,KH0331,0
1392,KH0331,0
1396,KH0182,0
1402,KH0183,0
1403,KH0268,0
1405,KH0268,0
1408,KH0182,0
1411,KH0095,0
1413,KH0383,0
1414,KH0329,0
1415,KH0244,0
1418,KH0090,0
1420,KH0182,0
1421,KH0359,0
1423,KH0183,0
1428,KH0399,0
